date,strategy,asset,ctr
2021-01-29,EW,SPY,0.015289899458937096
2021-01-29,EW,VEA,0.0070609431247139805
2021-01-29,EW,VWO,-0.0018046973332849592
2021-01-29,EW,IEF,0.00904769421115023
2021-01-29,EW,SHY,1.4321393693512123e-05
2021-01-29,EW,TIP,0.02991922231845708
2021-01-29,EW,LQD,0.001958132727752394
2021-01-29,EW,VNQ,0.02891835500119976
2021-01-29,EW,GLD,0.03619851685957979
2021-01-29,EW,DBC,0.02857965681221189
2021-01-29,GMV,SPY,0.001934543651814732
2021-01-29,GMV,VEA,0.0005332757469643109
2021-01-29,GMV,VWO,0.013125027611217895
2021-01-29,GMV,IEF,2.0127748674926643e-19
2021-01-29,GMV,SHY,0.02635180344507476
2021-01-29,GMV,TIP,0.002001635361371972
2021-01-29,GMV,LQD,0.004994886630290398
2021-01-29,GMV,VNQ,0.0
2021-01-29,GMV,GLD,4.286677937472325e-21
2021-01-29,GMV,DBC,0.0
2021-01-29,CtR-only,SPY,0.0065610925387853515
2021-01-29,CtR-only,VEA,0.0065639801358740955
2021-01-29,CtR-only,VWO,0.006548391522236509
2021-01-29,CtR-only,IEF,0.006564629269551638
2021-01-29,CtR-only,SHY,0.0065324308622362525
2021-01-29,CtR-only,TIP,0.006558370392872334
2021-01-29,CtR-only,LQD,0.006565580482564543
2021-01-29,CtR-only,VNQ,0.006558519891969934
2021-01-29,CtR-only,GLD,0.006557674129771605
2021-01-29,CtR-only,DBC,0.0065586853707739895
2021-01-29,MDP,SPY,0.0057362454212808054
2021-01-29,MDP,VEA,0.005554532729315483
2021-01-29,MDP,VWO,0.014529117849541686
2021-01-29,MDP,IEF,0.0
2021-01-29,MDP,SHY,0.010961675675613935
2021-01-29,MDP,TIP,0.007271834699341599
2021-01-29,MDP,LQD,0.004170749177730399
2021-01-29,MDP,VNQ,0.0
2021-01-29,MDP,GLD,0.0061528472673125145
2021-01-29,MDP,DBC,0.0009191000976764931
2021-01-29,CtB-only,SPY,0.00591584417847582
2021-01-29,CtB-only,VEA,0.005577750219640297
2021-01-29,CtB-only,VWO,0.014243987418160034
2021-01-29,CtB-only,IEF,0.0
2021-01-29,CtB-only,SHY,0.011210197866478921
2021-01-29,CtB-only,TIP,0.0077055413693612835
2021-01-29,CtB-only,LQD,0.004105086945144325
2021-01-29,CtB-only,VNQ,0.0
2021-01-29,CtB-only,GLD,0.005428540738454679
2021-01-29,CtB-only,DBC,0.0009377726028108338
2021-01-29,Main,SPY,0.00533608611210642
